sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: nanodrop_260_280_ratio	characteristics: nanodrop_260_230_ratio	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD64_CD_BAT	GSM1466553_BXD64.CEL	BXD64-brown adipose tissue-CD	GSM1466553_BXD64.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD64	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	1.66	390	ng/ul	2013-10-24	GSM1466553	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD64 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466553/suppl/GSM1466553_BXD64.CEL.gz
BXD65_CD_BAT	GSM1466554_BXD65.CEL	BXD65-brown adipose tissue-CD	GSM1466554_BXD65.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD65	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.14	0.97	322	ng/ul	2013-10-25	GSM1466554	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD65 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466554/suppl/GSM1466554_BXD65.CEL.gz
BXD66_CD_BAT	GSM1466555_BXD66.CEL	BXD66-brown adipose tissue-CD	GSM1466555_BXD66.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD66	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	0.83	452	ng/ul	2013-10-24	GSM1466555	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD66 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466555/suppl/GSM1466555_BXD66.CEL.gz
BXD68_CD_BAT	GSM1466556_BXD68.CEL	BXD68-brown adipose tissue-CD	GSM1466556_BXD68.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD68	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057	BXD68_CD_331,BXD68_CD_334,BXD68_CD_335	565.1	ng/ul	1.78666666666667	0.413333333333333	2.12	1.48	321	ng/ul	2013-10-24	GSM1466556	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD68 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466556/suppl/GSM1466556_BXD68.CEL.gz
BXD69_CD_BAT	GSM1466557_BXD69.CEL	BXD69-brown adipose tissue-CD	GSM1466557_BXD69.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD69	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	0.65	369	ng/ul	2013-10-24	GSM1466557	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD69 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466557/suppl/GSM1466557_BXD69.CEL.gz
BXD70_CD_BAT	GSM1466558_BXD70.CEL	BXD70-brown adipose tissue-CD	GSM1466558_BXD70.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD70	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.13	2.06	319	ng/ul	2013-10-24	GSM1466558	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD70 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466558/suppl/GSM1466558_BXD70.CEL.gz
BXD71_CD_BAT	GSM1466559_BXD71.CEL	BXD71-brown adipose tissue-CD	GSM1466559_BXD71.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD71	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057	BXD71_CD_361,BXD71_CD_362,BXD71_CD_363,BXD71_CD_364	680.75	ng/ul	1.76	0.375	2.13	1.04	276	ng/ul	2013-10-24	GSM1466559	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD71 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466559/suppl/GSM1466559_BXD71.CEL.gz
BXD75_CD_BAT	GSM1466560_BXD75.CEL	BXD75-brown adipose tissue-CD	GSM1466560_BXD75.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD75	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.12	1.43	361	ng/ul	2013-10-24	GSM1466560	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD75 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466560/suppl/GSM1466560_BXD75.CEL.gz
BXD79_CD_BAT	GSM1466561_BXD79.CEL	BXD79-brown adipose tissue-CD	GSM1466561_BXD79.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD79	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057	BXD79_CD_440,BXD79_CD_440,BXD79_CD_442,BXD79_CD_443	645.8	ng/ul	1.7925	0.475	2.13	2.04	373	ng/ul	2013-10-24	GSM1466561	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD79 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466561/suppl/GSM1466561_BXD79.CEL.gz
BXD80_CD_BAT	GSM1466562_BXD80.CEL	BXD80-brown adipose tissue-CD	GSM1466562_BXD80.CEL.gz	brown adipose tissue, chow diet	Mus musculus	10090	BXD80	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	brown adipose tissue	http://purl.obolibrary.org/obo/MA_0000057						2.12	1.88	410	ng/ul	2013-10-25	GSM1466562	GPL16570	total RNA	biotin	Gene expression data from pooled RNA extract of brown adipose tissue samples collected on 29 weeks old male BXD80 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 2.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466562/suppl/GSM1466562_BXD80.CEL.gz
